year,quarter,GDP,LEB,LURC
2024,3,20707.9,133.0,4.2
2024,4,20805.1,133.4,4.2
2025,1,20909.0,133.5,4.2
2025,2,21007.6,133.6,4.3
2025,3,21103.3,133.6,4.3
2025,4,21203.3,133.7,4.4
2026,1,21302.0,133.7,4.4
2026,2,21392.1,133.7,4.5
2026,3,21473.8,133.7,4.5
2026,4,21558.4,133.7,4.5
2027,1,21648.2,133.6,4.6
2027,2,21738.5,133.6,4.6
2027,3,21834.2,133.6,4.6
2027,4,21934.7,133.7,4.6
2028,1,22034.3,133.8,4.6
2028,2,22128.6,133.9,4.6
2028,3,22228.6,134.0,4.5
2028,4,22335.3,134.2,4.5
2029,1,22435.5,134.3,4.4
2029,2,22542.5,134.5,4.4
2029,3,22634.2,134.7,4.4
2029,4,22730.3,134.8,4.3
2030,1,22828.1,135.0,4.3
2030,2,22936.8,135.1,4.3
2030,3,23027.2,135.2,4.3
2030,4,23121.5,135.4,4.3
2031,1,23217.6,135.5,4.2
2031,2,23314.7,135.6,4.2
2031,3,23410.2,135.7,4.2
2031,4,23505.9,135.8,4.2
2032,1,23604.1,135.9,4.2
2032,2,23705.4,136.0,4.2
2032,3,23807.3,136.1,4.2
2032,4,23909.4,136.2,4.2
2033,1,24013.9,136.2,4.2
2033,2,24121.4,136.3,4.2
2033,3,24227.3,136.4,4.2
2033,4,24331.8,136.5,4.2
2034,1,24439.0,136.6,4.2
2034,2,24550.0,136.7,4.2
2034,3,24660.8,136.7,4.2
2034,4,24772.1,136.8,4.2
2035,1,24886.6,136.9,4.2
2035,2,25002.4,137.0,4.2
2035,3,25115.6,137.0,4.2
2035,4,25227.2,137.1,4.2
