nipa_line,pce_category,bea_code,commodity_description,producers_value,purchasers_value
34,Nonelectric cookware and tableware,332119,"Metal crown, closure, and other metal stamping (except automotive)",199,279
34,Nonelectric cookware and tableware,332200,Cutlery and handtool manufacturing,1260,1940
34,Nonelectric cookware and tableware,332430,"Metal can, box, and other metal container (light gauge) manufacturing",408,507
34,Nonelectric cookware and tableware,332999,Other fabricated metal manufacturing,867,1214
34,Nonelectric cookware and tableware,S00402,Used and secondhand goods,8,127
36,"Tools, hardware, and supplies",314900,Other textile product mills,27,104
36,"Tools, hardware, and supplies",325510,Paint and coating manufacturing,2362,4831
36,"Tools, hardware, and supplies",325610,Soap and cleaning compound manufacturing,329,587
36,"Tools, hardware, and supplies",3259A0,All other chemical product and preparation manufacturing,25,45
36,"Tools, hardware, and supplies",326290,Other rubber product manufacturing,72,253
36,"Tools, hardware, and supplies",327910,Abrasive product manufacturing,188,382
36,"Tools, hardware, and supplies",327992,Ground or treated mineral and earth manufacturing,41,80
36,"Tools, hardware, and supplies",331200,Steel product manufacturing from purchased steel,14,66
36,"Tools, hardware, and supplies",332200,Cutlery and handtool manufacturing,1287,6760
36,"Tools, hardware, and supplies",332500,Hardware manufacturing,31,48
36,"Tools, hardware, and supplies",332600,Spring and wire product manufacturing,1,4
36,"Tools, hardware, and supplies",332720,"Turned product and screw, nut, and bolt manufacturing",411,2157
36,"Tools, hardware, and supplies",33329A,Other industrial machinery manufacturing,172,845
36,"Tools, hardware, and supplies",333517,Machine Tool Manufacturing,99,486
36,"Tools, hardware, and supplies",333991,Power-driven handtool manufacturing,2409,11847
36,"Tools, hardware, and supplies",33399A,Other general purpose machinery manufacturing,105,517
36,"Tools, hardware, and supplies",335312,Motor and generator manufacturing,91,455
36,"Tools, hardware, and supplies",337900,Other furniture related product manufacturing,69,258
36,"Tools, hardware, and supplies",339990,All other miscellaneous manufacturing,354,1803
36,"Tools, hardware, and supplies",532A00,General and consumer goods rental,1229,1229
36,"Tools, hardware, and supplies",S00402,Used and secondhand goods,27,152
37,Outdoor equipment and supplies,3219A0,All other wood product manufacturing,31,154
37,Outdoor equipment and supplies,326220,Rubber and plastics hoses and belting manufacturing,77,272
37,Outdoor equipment and supplies,332200,Cutlery and handtool manufacturing,15,77
37,Outdoor equipment and supplies,332999,Other fabricated metal manufacturing,300,1493
37,Outdoor equipment and supplies,333112,Lawn and garden equipment manufacturing,760,4158
37,Outdoor equipment and supplies,33451A,"Watch, clock, and other measuring and controlling device manufacturing",0,2
37,Outdoor equipment and supplies,S00402,Used and secondhand goods,35,83
41,Televisions,334300,Audio and video equipment manufacturing,10909,24050
41,Televisions,S00402,Used and secondhand goods,0,4
42,Other video equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,1884,3491
42,Other video equipment,334300,Audio and video equipment manufacturing,3635,8013
42,Other video equipment,335999,All other miscellaneous electrical equipment and component manufacturing,124,269
43,Audio equipment,334220,Broadcast and wireless communications equipment,582,1482
43,Audio equipment,334290,Other communications equipment manufacturing,7,18
43,Audio equipment,334300,Audio and video equipment manufacturing,6024,13272
43,Audio equipment,33441A,Other electronic component manufacturing,108,223
43,Audio equipment,335912,Primary battery manufacturing,827,1797
43,Audio equipment,335999,All other miscellaneous electrical equipment and component manufacturing,75,162
43,Audio equipment,S00402,Used and secondhand goods,-10,8
45,"Audio discs, tapes, vinyl, and permanent digital downloads",334610,Manufacturing and reproducing magnetic and optical media,50,64
45,"Audio discs, tapes, vinyl, and permanent digital downloads",512200,Sound recording industries,1671,3395
46,"Video discs, tapes, and permanent digital downloads",334610,Manufacturing and reproducing magnetic and optical media,125,255
46,"Video discs, tapes, and permanent digital downloads",512100,Motion picture and video industries,4241,8195
47,Photographic equipment,316000,Leather and allied product manufacturing,15,27
47,Photographic equipment,333314,Optical instrument and lens manufacturing,24,45
47,Photographic equipment,333316,Photographic and photocopying equipment manufacturing,492,1279
47,Photographic equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,932,1727
47,Photographic equipment,S00402,Used and secondhand goods,7,21
49,Personal computers/tablets and peripheral equipment,334111,Electronic computer manufacturing,20604,34107
49,Personal computers/tablets and peripheral equipment,334112,Computer storage device manufacturing,2867,4746
49,Personal computers/tablets and peripheral equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,6012,9952
49,Personal computers/tablets and peripheral equipment,334418,Printed circuit assembly (electronic assembly) manufacturing,59,93
49,Personal computers/tablets and peripheral equipment,S00402,Used and secondhand goods,0,48
50,Computer software and accessories,511200,Software publishers,48204,79659
50,Computer software and accessories,518200,"Data processing, hosting, and related services",15033,15033
51,"Calculators, typewriters, and other information processing equipment",333318,Other commercial and service industry machinery manufacturing,263,346
51,"Calculators, typewriters, and other information processing equipment",339940,Office supplies (except paper) manufacturing,8,11
52,"Sporting equipment, supplies, guns, and ammunition",314900,Other textile product mills,1083,2809
52,"Sporting equipment, supplies, guns, and ammunition",316000,Leather and allied product manufacturing,187,492
52,"Sporting equipment, supplies, guns, and ammunition",3259A0,All other chemical product and preparation manufacturing,1183,2585
52,"Sporting equipment, supplies, guns, and ammunition",331200,Steel product manufacturing from purchased steel,8,16
52,"Sporting equipment, supplies, guns, and ammunition",332200,Cutlery and handtool manufacturing,599,1529
52,"Sporting equipment, supplies, guns, and ammunition",33299A,"Ammunition, arms, ordnance, and accessories manufacturing",6829,16439
52,"Sporting equipment, supplies, guns, and ammunition",336999,All other transportation equipment manufacturing,2232,3856
52,"Sporting equipment, supplies, guns, and ammunition",339113,Surgical appliance and supplies manufacturing,1066,5558
52,"Sporting equipment, supplies, guns, and ammunition",339920,Sporting and athletic goods manufacturing,12627,32355
52,"Sporting equipment, supplies, guns, and ammunition",339990,All other miscellaneous manufacturing,55,150
52,"Sporting equipment, supplies, guns, and ammunition",S00402,Used and secondhand goods,-125,-125
54,Motorcycles,326210,Tire manufacturing,928,2408
54,Motorcycles,336991,"Motorcycle, bicycle, and parts manufacturing",5966,10436
54,Motorcycles,S00402,Used and secondhand goods,-44,1378
55,Bicycles and accessories,336991,"Motorcycle, bicycle, and parts manufacturing",2088,4810
57,Pleasure boats,326290,Other rubber product manufacturing,53,93
57,Pleasure boats,332500,Hardware manufacturing,99,202
57,Pleasure boats,333618,Other engine equipment manufacturing,225,382
57,Pleasure boats,336214,Travel trailer and camper manufacturing,1025,1558
57,Pleasure boats,336612,Boat building,9035,13599
57,Pleasure boats,336999,All other transportation equipment manufacturing,1521,2357
57,Pleasure boats,S00402,Used and secondhand goods,-1,669
58,Pleasure aircraft,335911,Storage battery manufacturing,72,124
58,Pleasure aircraft,336411,Aircraft manufacturing,927,1485
58,Pleasure aircraft,S00402,Used and secondhand goods,159,454
59,Other recreational vehicles,336213,Motor home manufacturing,5682,10002
59,Other recreational vehicles,336214,Travel trailer and camper manufacturing,10650,18705
59,Other recreational vehicles,336999,All other transportation equipment manufacturing,255,477
59,Other recreational vehicles,S00402,Used and secondhand goods,-31,1474
60,Recreational books,323110,Printing,22,35
60,Recreational books,511130,Book publishers,13114,19910
60,Recreational books,5111A0,"Directory, mailing list, and other publishers",477,751
60,Recreational books,519130,Internet publishing and broadcasting and Web search portals,1585,1585
61,Musical instruments,316000,Leather and allied product manufacturing,189,380
61,Musical instruments,339990,All other miscellaneous manufacturing,2344,4904
61,Musical instruments,S00402,Used and secondhand goods,-8,53
64,Jewelry,339910,Jewelry and silverware manufacturing,13922,43134
64,Jewelry,S00401,Scrap,-8,-8
64,Jewelry,S00402,Used and secondhand goods,5524,11333
65,Watches,33451A,"Watch, clock, and other measuring and controlling device manufacturing",3730,11479
67,Therapeutic medical equipment,334510,Electromedical and electrotherapeutic apparatus manufacturing,4151,10192
67,Therapeutic medical equipment,335120,Lighting fixture manufacturing,5,17
67,Therapeutic medical equipment,335210,Small electrical appliance manufacturing,12,43
67,Therapeutic medical equipment,335912,Primary battery manufacturing,605,1371
67,Therapeutic medical equipment,339112,Surgical and medical instrument manufacturing,0,0
67,Therapeutic medical equipment,339113,Surgical appliance and supplies manufacturing,6088,16025
67,Therapeutic medical equipment,S00402,Used and secondhand goods,0,0
68,Corrective eyeglasses and contact lenses,339115,Ophthalmic goods manufacturing,10342,22945
68,Corrective eyeglasses and contact lenses,621300,Offices of other health practitioners,9628,9628
68,Corrective eyeglasses and contact lenses,S00402,Used and secondhand goods,0,1
69,Educational books,511130,Book publishers,4167,6320
69,Educational books,519130,Internet publishing and broadcasting and Web search portals,1617,1617
69,Educational books,S00402,Used and secondhand goods,2,266
70,Luggage and similar personal items,316000,Leather and allied product manufacturing,11319,26223
70,Luggage and similar personal items,3219A0,All other wood product manufacturing,175,533
70,Luggage and similar personal items,339930,"Doll, toy, and game manufacturing",337,532
70,Luggage and similar personal items,339990,All other miscellaneous manufacturing,700,2381
71,Telephone and related communication equipment,334210,Telephone apparatus manufacturing,442,823
71,Telephone and related communication equipment,334220,Broadcast and wireless communications equipment,10295,26771
77,Cereals,1111B0,Grain farming,899,1363
77,Cereals,311210,Flour milling and malt manufacturing,2541,4715
77,Cereals,311224,Soybean and other oilseed processing,144,265
77,Cereals,311230,Breakfast cereal manufacturing,8633,15586
77,Cereals,311420,"Fruit and vegetable canning, pickling, and drying",430,780
77,Cereals,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",14807,26713
77,Cereals,311990,All other food manufacturing,70,126
78,Bakery products,311810,Bread and bakery product manufacturing,42784,77162
78,Bakery products,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",5810,10483
80,Beef and veal,31161A,"Animal (except poultry) slaughtering, rendering, and processing",27563,46104
81,Pork,31161A,"Animal (except poultry) slaughtering, rendering, and processing",20487,34268
82,Other meats,114000,"Fishing, hunting and trapping",495,601
82,Other meats,31161A,"Animal (except poultry) slaughtering, rendering, and processing",19997,33644
83,Poultry,311615,Poultry processing,33959,54926
84,Fish and seafood,112A00,"Animal production, except cattle and poultry and eggs",186,331
84,Fish and seafood,114000,"Fishing, hunting and trapping",2798,4910
84,Fish and seafood,311700,Seafood product preparation and packaging,5994,10104
86,Fresh milk,31151A,Fluid milk and butter manufacturing,13672,23009
87,Processed dairy products,311513,Cheese manufacturing,15982,26921
87,Processed dairy products,311514,"Dry, condensed, and evaporated dairy product manufacturing",4247,7663
87,Processed dairy products,31151A,Fluid milk and butter manufacturing,8916,15005
87,Processed dairy products,311520,Ice cream and frozen dessert manufacturing,1693,2849
88,Eggs,112300,Poultry and egg production,5034,8553
88,Eggs,311990,All other food manufacturing,2237,4058
89,Fats and oils,311221,Wet corn milling,797,1478
89,Fats and oils,311224,Soybean and other oilseed processing,2570,4741
89,Fats and oils,311225,Fats and oils refining and blending,2861,5163
89,Fats and oils,31151A,Fluid milk and butter manufacturing,1387,2335
89,Fats and oils,31161A,"Animal (except poultry) slaughtering, rendering, and processing",3,4
89,Fats and oils,311910,Snack food manufacturing,1097,1979
89,Fats and oils,311940,Seasoning and dressing manufacturing,2163,3912
91,Fruit (fresh),111300,Fruit and tree nut farming,21578,43053
92,Vegetables (fresh),111200,Vegetable and melon farming,19416,38882
92,Vegetables (fresh),111400,"Greenhouse, nursery, and floriculture production",1357,2425
92,Vegetables (fresh),111900,Other crop farming,3483,6221
93,Processed fruits and vegetables,1111B0,Grain farming,1099,2374
93,Processed fruits and vegetables,311210,Flour milling and malt manufacturing,3,5
93,Processed fruits and vegetables,311410,Frozen food manufacturing,6130,11113
93,Processed fruits and vegetables,311420,"Fruit and vegetable canning, pickling, and drying",9871,17881
94,Sugar and sweets,311221,Wet corn milling,614,1140
94,Sugar and sweets,311300,Sugar and confectionery product manufacturing,26882,46723
94,Sugar and sweets,311420,"Fruit and vegetable canning, pickling, and drying",1191,2159
94,Sugar and sweets,311990,All other food manufacturing,1168,2119
95,"Food products, not elsewhere classified",111300,Fruit and tree nut farming,2604,4647
95,"Food products, not elsewhere classified",111900,Other crop farming,5,8
95,"Food products, not elsewhere classified",2123A0,Other nonmetallic mineral mining and quarrying,7,13
95,"Food products, not elsewhere classified",311230,Breakfast cereal manufacturing,137,248
95,"Food products, not elsewhere classified",311410,Frozen food manufacturing,19463,35286
95,"Food products, not elsewhere classified",311420,"Fruit and vegetable canning, pickling, and drying",10189,18464
95,"Food products, not elsewhere classified",311514,"Dry, condensed, and evaporated dairy product manufacturing",5184,9354
95,"Food products, not elsewhere classified",311910,Snack food manufacturing,26139,45245
95,"Food products, not elsewhere classified",311940,Seasoning and dressing manufacturing,9418,17031
95,"Food products, not elsewhere classified",311990,All other food manufacturing,16926,30704
95,"Food products, not elsewhere classified",325190,Other basic organic chemical manufacturing,318,547
95,"Food products, not elsewhere classified",3259A0,All other chemical product and preparation manufacturing,238,407
97,"Coffee, tea, and other beverage materials",311920,Coffee and tea manufacturing,7448,13459
97,"Coffee, tea, and other beverage materials",311930,Flavoring syrup and concentrate manufacturing,532,923
97,"Coffee, tea, and other beverage materials",311940,Seasoning and dressing manufacturing,1318,2383
97,"Coffee, tea, and other beverage materials",312110,Soft drink and ice manufacturing,1320,2565
97,"Coffee, tea, and other beverage materials",S00401,Scrap,-1199,-1199
98,"Mineral waters, soft drinks, and vegetable juices",311410,Frozen food manufacturing,1303,2363
98,"Mineral waters, soft drinks, and vegetable juices",311420,"Fruit and vegetable canning, pickling, and drying",3117,5647
98,"Mineral waters, soft drinks, and vegetable juices",312110,Soft drink and ice manufacturing,39133,70614
100,Spirits,311990,All other food manufacturing,1153,2421
100,Spirits,312140,Distilleries,12490,32804
101,Wine,312130,Wineries,19401,47187
102,Beer,312120,Breweries,25930,65044
103,Food produced and consumed on farms,111200,Vegetable and melon farming,81,81
103,Food produced and consumed on farms,111300,Fruit and tree nut farming,72,72
103,Food produced and consumed on farms,112120,Dairy cattle and milk production,165,165
103,Food produced and consumed on farms,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",97,97
103,Food produced and consumed on farms,112A00,"Animal production, except cattle and poultry and eggs",18,18
106,Women's and girls' clothing,313300,Textile and fabric finishing and fabric coating mills,16,47
106,Women's and girls' clothing,314900,Other textile product mills,29,95
106,Women's and girls' clothing,315000,Apparel manufacturing,56179,175781
106,Women's and girls' clothing,339113,Surgical appliance and supplies manufacturing,10,31
106,Women's and girls' clothing,339920,Sporting and athletic goods manufacturing,50,164
106,Women's and girls' clothing,S00401,Scrap,474,474
106,Women's and girls' clothing,S00402,Used and secondhand goods,-342,2067
107,Men's and boys' clothing,313300,Textile and fabric finishing and fabric coating mills,4,9
107,Men's and boys' clothing,314900,Other textile product mills,0,1
107,Men's and boys' clothing,315000,Apparel manufacturing,40423,109936
107,Men's and boys' clothing,339113,Surgical appliance and supplies manufacturing,15,41
107,Men's and boys' clothing,339920,Sporting and athletic goods manufacturing,29,82
107,Men's and boys' clothing,S00402,Used and secondhand goods,-331,-57
108,Children's and infants' clothing,314900,Other textile product mills,254,936
108,Children's and infants' clothing,315000,Apparel manufacturing,3089,9659
108,Children's and infants' clothing,322291,Sanitary paper product manufacturing,3447,11251
108,Children's and infants' clothing,S00402,Used and secondhand goods,-16,259
110,Clothing materials,313100,"Fiber, yarn, and thread mills",16,42
110,Clothing materials,313200,Fabric mills,503,1277
110,Clothing materials,313300,Textile and fabric finishing and fabric coating mills,425,1078
110,Clothing materials,314900,Other textile product mills,0,1
110,Clothing materials,339990,All other miscellaneous manufacturing,173,457
111,Standard clothing issued to military personnel,314120,Curtain and linen mills,5,7
111,Standard clothing issued to military personnel,314900,Other textile product mills,5,8
111,Standard clothing issued to military personnel,315000,Apparel manufacturing,184,278
111,Standard clothing issued to military personnel,316000,Leather and allied product manufacturing,60,95
111,Standard clothing issued to military personnel,339990,All other miscellaneous manufacturing,0,0
112,Shoes and other footwear,316000,Leather and allied product manufacturing,30936,87050
112,Shoes and other footwear,S00402,Used and secondhand goods,-29,14
115,Gasoline and other motor fuel,324110,Petroleum refineries,159523,291554
116,Lubricants and fluids,324190,Other petroleum and coal products manufacturing,5881,10859
116,Lubricants and fluids,325610,Soap and cleaning compound manufacturing,50,89
118,Fuel oil,324110,Petroleum refineries,8954,17419
119,Other fuels,212100,Coal mining,121,221
119,Other fuels,3219A0,All other wood product manufacturing,578,1025
119,Other fuels,324190,Other petroleum and coal products manufacturing,1319,2293
119,Other fuels,325190,Other basic organic chemical manufacturing,323,524
122,Pharmaceutical products,324110,Petroleum refineries,642,2059
122,Pharmaceutical products,325120,Industrial gas manufacturing,363,1196
122,Pharmaceutical products,325412,Pharmaceutical preparation manufacturing,196320,431842
125,Other medical products,326150,Urethane and other foam product (except polystyrene) manufacturing,147,568
125,Other medical products,339112,Surgical and medical instrument manufacturing,46,163
125,Other medical products,339113,Surgical appliance and supplies manufacturing,1183,4190
127,"Games, toys, and hobbies",322299,All other converted paper product manufacturing,172,410
127,"Games, toys, and hobbies",323110,Printing,331,900
127,"Games, toys, and hobbies",326290,Other rubber product manufacturing,157,438
127,"Games, toys, and hobbies",339930,"Doll, toy, and game manufacturing",19907,61672
127,"Games, toys, and hobbies",811200,Electronic and precision equipment repair and maintenance,1045,1045
127,"Games, toys, and hobbies",S00402,Used and secondhand goods,-12539,8188
128,Pets and related products,1111B0,Grain farming,449,1145
128,Pets and related products,111900,Other crop farming,471,1246
128,Pets and related products,112A00,"Animal production, except cattle and poultry and eggs",5818,12225
128,Pets and related products,2123A0,Other nonmetallic mineral mining and quarrying,14,36
128,Pets and related products,311111,Dog and cat food manufacturing,17722,40451
128,Pets and related products,311119,Other animal food manufacturing,2340,6000
128,Pets and related products,311210,Flour milling and malt manufacturing,228,532
128,Pets and related products,31161A,"Animal (except poultry) slaughtering, rendering, and processing",452,970
128,Pets and related products,314120,Curtain and linen mills,6,13
128,Pets and related products,314900,Other textile product mills,28,75
128,Pets and related products,316000,Leather and allied product manufacturing,301,802
128,Pets and related products,325412,Pharmaceutical preparation manufacturing,445,1088
128,Pets and related products,3259A0,All other chemical product and preparation manufacturing,133,291
128,Pets and related products,326150,Urethane and other foam product (except polystyrene) manufacturing,17,44
128,Pets and related products,326190,Other plastics product manufacturing,1281,2838
128,Pets and related products,339990,All other miscellaneous manufacturing,43,120
129,"Flowers, seeds, and potted plants",111400,"Greenhouse, nursery, and floriculture production",11832,29074
129,"Flowers, seeds, and potted plants",339990,All other miscellaneous manufacturing,2553,8314
129,"Flowers, seeds, and potted plants",S00402,Used and secondhand goods,0,34
130,Film and photographic supplies,3259A0,All other chemical product and preparation manufacturing,273,710
130,Film and photographic supplies,335110,Electric lamp bulb and part manufacturing,45,86
130,Film and photographic supplies,335311,"Power, distribution, and specialty transformer manufacturing",6,10
132,Household cleaning products,2123A0,Other nonmetallic mineral mining and quarrying,31,65
132,Household cleaning products,325180,Other Basic Inorganic Chemical Manufacturing,19,36
132,Household cleaning products,325190,Other basic organic chemical manufacturing,1,3
132,Household cleaning products,325310,Fertilizer manufacturing,141,312
132,Household cleaning products,325320,Pesticide and other agricultural chemical manufacturing,1157,2501
132,Household cleaning products,325610,Soap and cleaning compound manufacturing,12379,22074
132,Household cleaning products,3259A0,All other chemical product and preparation manufacturing,120,215
132,Household cleaning products,332999,Other fabricated metal manufacturing,214,412
132,Household cleaning products,339113,Surgical appliance and supplies manufacturing,212,455
132,Household cleaning products,339990,All other miscellaneous manufacturing,632,2350
133,Household paper products,313200,Fabric mills,2,5
133,Household paper products,314900,Other textile product mills,22,61
133,Household paper products,3219A0,All other wood product manufacturing,600,1431
133,Household paper products,322120,Paper mills,11679,27670
133,Household paper products,322210,Paperboard container manufacturing,771,1820
133,Household paper products,322220,Paper Bag and Coated and Treated Paper Manufacturing,1895,4477
133,Household paper products,322299,All other converted paper product manufacturing,319,760
133,Household paper products,323110,Printing,99,234
133,Household paper products,326110,Plastics packaging materials and unlaminated film and sheet manufacturing,2803,6541
133,Household paper products,326140,Polystyrene foam product manufacturing,225,868
133,Household paper products,326150,Urethane and other foam product (except polystyrene) manufacturing,0,2
133,Household paper products,332999,Other fabricated metal manufacturing,393,959
134,Household linens,313200,Fabric mills,11,38
134,Household linens,314120,Curtain and linen mills,7308,26185
134,Household linens,314900,Other textile product mills,1677,6504
134,Household linens,315000,Apparel manufacturing,387,1429
134,Household linens,323110,Printing,1733,5981
134,Household linens,339990,All other miscellaneous manufacturing,651,2584
135,Sewing items,313100,"Fiber, yarn, and thread mills",27,69
135,Sewing items,313200,Fabric mills,360,915
135,Sewing items,313300,Textile and fabric finishing and fabric coating mills,62,159
135,Sewing items,S00402,Used and secondhand goods,0,6
136,Miscellaneous household products,323110,Printing,4,13
136,Miscellaneous household products,3259A0,All other chemical product and preparation manufacturing,66,329
136,Miscellaneous household products,335110,Electric lamp bulb and part manufacturing,498,2501
136,Miscellaneous household products,335311,"Power, distribution, and specialty transformer manufacturing",0,0
136,Miscellaneous household products,335313,Switchgear and switchboard apparatus manufacturing,64,321
136,Miscellaneous household products,335912,Primary battery manufacturing,728,3655
136,Miscellaneous household products,339990,All other miscellaneous manufacturing,1510,6024
